State,Top Candy,pounds,2nd place,pounds.1,3rd Place,pounds.2
AK,Twix,4995,Blow Pops,4396,Milky Way,3634
AL,Candy Corn,62067,Tootsie Pops,48386,Hershey's Mini Bars,39391
AR,Jolly Ranchers,241483,Hot Tamales,210104,Butterfinger,71776
AZ,Snickers,956333,Hot Tamales,766617,Hershey Kisses,502310
CA,Skittles,1620736,M&M's,1283715,Assorted Salt Water Taffy,891953
CO,Twix,5707,Milky Way,5321,Hershey Kisses,3350
CT,Almond Joy,2598,Milky Way,1715,M&M's,989
DC,M&M's,26865,Tootsie Pops,20287,Candy Corn,12752
DE,Life Savers,20806,Candy Corn,17981,Skittles,9595
FL,Snickers,660689,Skittles,578790,Reese's Cups,214314
GA,Jolly Ranchers,142983,Swedish Fish,101236,Hershey Kisses,47908
HI,Skittles,275811,Hershey Kisses,266495,Butterfinger,125531
IA,Candy Corn,61271,M&M's,52499,Reese's Cups,51737
ID,Candy Corn,89673,Starburst,58953,Snickers,38279
IL,Kit Kat,169089,Sour Patch Kids,137257,Snickers,91494
IN,Hot Tamales,100469,Starburst,73692,Jolly Ranchers,30653
KS,Reese's Cups,245135,M&M's,225421,Snickers,138422
KY,Swedish Fish,73822,Tootsie Pops,53300,Reese's Cups,26260
LA,Lemonheads,108025,Reese's Cups,85166,Blow Pops,36927
MA,Sour Patch Kids,78924,Butterfinger,72546,Dubble Bubble Gum,39984
MD,Milky Way,41128,Reese's Cups,28689,Hershey Kisses,11740
ME,Sour Patch Kids,63630,Starburst,40409,M&M's,15831
MI,Candy Corn,150805,Starburst,132594,Skittles,78426
MN,Tootsie Pops,202210,Skittles,196541,Candy Corn,96431
MO,Milky Way,46001,Dubble Bubble Gum,32042,Almond Joy,24746
MS,3 Musketeers,115314,Snickers,99497,Butterfinger,52733
MT,Dubble Bubble Gum,25802,Twix,15110,M&M's,12628
NC,M&M's,101860,Reese's Cups,92437,Snickers,52372
ND,Hot Tamales,69652,Jolly Ranchers,60053,Candy Corn,49252
NE,Salt Water Taffy,108819,Sour Patch Kids,74728,Twix,24433
NH,Starburst,67939,M&M's,61343,Snickers,25049
NJ,Skittles,165484,M&M's,160088,Tootsie Pops,98613
NM,Candy Corn,84251,Jolly Ranchers,61855,Milky Way,44121
NV,Candy Corn,339882,Hershey Kisses,198868,Tootsie Pops,151384
NY,Sour Patch Kids,203705,Candy Corn,100484,Hot Tamales,49326
OH,M&M's,164757,Blow Pops,146478,Starburst,103523
OK,Dubble Bubble Gum,20583,Snickers,9817,Skittles,8346
OR,Reese's Cups,92495,M&M's,60290,Candy Corn,40263
PA,Skittles,302061,M&M's,282172,Candy Corn,130597
RI,Candy Corn,17704,Twix,13039,M&M's,8230
SC,Skittles,118870,Candy Corn,97610,Hot Tamales,39738
SD,Starburst,26916,Candy Corn,21778,Jolly Ranchers,7168
TN,Tootsie Pops,60687,Skittles,34832,Salt Water Taffy,17251
TX,Reese's Cups,1101040,Starburst,1082409,Almond Joy,470571
UT,Jolly Ranchers,483545,Candy Corn,172832,Tootsie Pops,148780
VA,Hot Tamales,160136,Snickers,132370,Tootsie Pops,64494
VT,Milky Way,31822,Skittles,26056,M&M's,15344
WA,Salt Water Taffy,220965,Tootsie Pops,195602,Skittles,71553
WI,Butterfinger,118984,Starburst,118572,Hot Tamales,37588
WV,Blow Pops,44123,Milky Way,22139,Hershey's Mini Bars,18211
WY,Reese's Cups,32711,Salt Water Taffy,23619,Dubble Bubble Gum,19844
