candy,pounds
3 Musketeers,115314
Almond Joy,497915
Assorted Salt Water Taffy,891953
Blow Pops,231924
Butterfinger,441570
Candy Corn,1545633
Dubble Bubble Gum,138255
Hershey Kisses,1030671
Hershey's Mini Bars,57602
Hot Tamales,1433630
Jolly Ranchers,1027740
Kit Kat,169089
Lemonheads,108025
Life Savers,20806
M&M's,2472032
Milky Way,195881
Reese's Cups,1969984
Salt Water Taffy,370654
Skittles,3487101
Snickers,2204322
Sour Patch Kids,558244
Starburst,1705007
Swedish Fish,175058
Tootsie Pops,1043743
Twix,63284
